1.1681e-15	7.3445e-17
1.9876e-15	8.2239e-17
2.4373e-15	9.2072e-17
2.6034e-15	9.7144e-17
2.6649e-15	1.0189e-16
2.529e-15	1.0187e-16
2.4481e-15	1.0179e-16
2.2037e-15	9.5479e-17
2.0386e-15	8.7427e-17
1.7182e-15	7.7615e-17
8.7518e-16	5.7361e-17
1.3019e-15	7.3042e-17
1.718e-15	7.6036e-17
2.1598e-15	8.2194e-17
2.3995e-15	8.7207e-17
2.6479e-15	9.2452e-17
2.6353e-15	9.4438e-17
2.7999e-15	9.7376e-17
2.6567e-15	9.3438e-17
2.5047e-15	8.4393e-17
3.1426e-15	1.0494e-16
2.5702e-15	8.8438e-17
2.0872e-15	7.4397e-17
1.7375e-15	6.4597e-17
1.55e-15	6.0403e-17
1.5631e-15	6.1611e-17
1.6955e-15	6.671e-17
1.9761e-15	7.8018e-17
2.4245e-15	9.3882e-17
3.0416e-15	1.1933e-16
1.8284e-15	7.5766e-17
2.2575e-15	8.4961e-17
2.5559e-15	9.3881e-17
2.3157e-15	8.6559e-17
1.8573e-15	7.4044e-17
1.9037e-15	7.4347e-17
2.2902e-15	8.6145e-17
2.551e-15	9.3667e-17
2.2521e-15	8.5542e-17
1.8893e-15	7.6491e-17
